epoch,loss,train_acc,val_acc,test_acc,lr,phase
116,0.6070062518119812,1.0,0.782,0.8,0.005,cooldown
117,0.7165707945823669,1.0,0.782,0.796,0.005,cooldown
118,0.7386544942855835,1.0,0.778,0.796,0.005,cooldown
119,0.6205017566680908,1.0,0.776,0.794,0.005,cooldown
120,0.7389367818832397,1.0,0.776,0.792,0.005,cooldown
121,0.7191678285598755,1.0,0.776,0.791,0.005,cooldown
122,0.6896530389785767,1.0,0.778,0.79,0.005,cooldown
123,0.6956052780151367,1.0,0.776,0.792,0.005,cooldown
124,0.7146143913269043,1.0,0.78,0.791,0.005,cooldown
125,0.7732973098754883,1.0,0.78,0.791,0.005,cooldown
126,0.7337468266487122,1.0,0.78,0.793,0.005,cooldown
127,0.7891298532485962,1.0,0.778,0.792,0.005,cooldown
128,0.6893023252487183,1.0,0.774,0.793,0.005,cooldown
129,0.7269191741943359,1.0,0.778,0.792,0.005,cooldown
130,0.7996315360069275,1.0,0.772,0.795,0.005,cooldown
131,0.753003716468811,1.0,0.768,0.794,0.005,cooldown
132,0.6387959122657776,1.0,0.77,0.795,0.005,cooldown
133,0.6505001783370972,1.0,0.77,0.795,0.005,cooldown
134,0.6692737936973572,1.0,0.778,0.8,0.005,cooldown
135,0.7019523978233337,1.0,0.778,0.798,0.005,cooldown
136,0.7381588816642761,1.0,0.776,0.798,0.005,cooldown
137,0.7801705598831177,1.0,0.778,0.796,0.005,cooldown
138,0.6836495995521545,1.0,0.778,0.801,0.005,cooldown
139,0.6440039873123169,1.0,0.784,0.801,0.005,cooldown
140,0.5676554441452026,1.0,0.782,0.802,0.005,cooldown
141,0.6938884258270264,1.0,0.78,0.802,0.005,cooldown
142,0.7066895961761475,1.0,0.782,0.798,0.005,cooldown
143,0.8855721354484558,1.0,0.782,0.796,0.005,cooldown
144,0.6670335531234741,1.0,0.778,0.796,0.005,cooldown
145,0.7500995993614197,1.0,0.778,0.796,0.005,cooldown
146,0.7786200642585754,1.0,0.782,0.794,0.005,cooldown
147,0.6736777424812317,1.0,0.784,0.793,0.005,cooldown
148,0.699641227722168,1.0,0.784,0.792,0.005,cooldown
149,0.5941999554634094,1.0,0.786,0.791,0.005,cooldown
150,0.5834876298904419,1.0,0.784,0.79,0.005,cooldown
151,0.623633623123169,1.0,0.78,0.791,0.005,cooldown
152,0.6158750057220459,1.0,0.78,0.792,0.005,cooldown
153,0.6565903425216675,1.0,0.78,0.791,0.005,cooldown
154,0.6688308715820312,1.0,0.78,0.793,0.005,cooldown
155,0.6411704421043396,1.0,0.776,0.79,0.005,cooldown
156,0.5630564093589783,1.0,0.776,0.792,0.005,cooldown
157,0.6436912417411804,1.0,0.77,0.791,0.005,cooldown
158,0.6372646689414978,1.0,0.772,0.793,0.005,cooldown
159,0.6286981701850891,1.0,0.776,0.799,0.005,cooldown
160,0.5406402945518494,1.0,0.778,0.801,0.005,cooldown
161,0.5684069991111755,1.0,0.778,0.803,0.005,cooldown
162,0.588534951210022,1.0,0.774,0.803,0.005,cooldown
163,0.698805034160614,1.0,0.774,0.804,0.005,cooldown
164,0.6233013868331909,1.0,0.778,0.806,0.005,cooldown
